genome_id	phaZ_status	major_subtype	phylum	genus	species	growth_rate_per_h	doubling_time_h
GCA_963724435.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963724435	0.0466262131731115	14.8660406537083
GCA_963735445.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963735445	0.0565402186127613	12.2593650602458
GCA_963736715.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963736715	0.0537870192904666	12.8868859011639
GCA_963772965.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963772965	0.0459009276364629	15.1009405746589
GCA_963774345.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963774345	0.0543467818848551	12.7541531719122
GCA_963775525.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963775525	0.0796447878112188	8.70298232450445
GCA_963775875.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963775875	0.0835895686387572	8.29226890206202
GCA_963781215.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963781215	0.0796932669462577	8.69768811243965
GCA_963787425.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963787425	0.0602858409795998	11.4976778841735
GCA_963789025.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963789025	0.0550296202250892	12.595892497981
GCA_963795485.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963795485	0.0858507608137677	8.07386182707872
GCA_963796155.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963796155	0.0602921011223733	11.4964840776254
GCA_963797115.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963797115	0.0422474075466017	16.4068571496454
GCA_963799085.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963799085	0.0674380824957898	10.278275343953
GCA_963814805.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963814805	0.0850735198008956	8.1476255147568
GCA_963818695.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963818695	0.073704681135952	9.4043847673854
GCA_963821795.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-15	AP-15 sp963821795	0.047540635486395	14.5800991818527
GCA_963833745.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AP-15	AP-15 sp963833745	0.049188480569684	14.0916566751433
GCA_019238055.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp019238055	0.0474465570739128	14.6090090263062
GCA_019244535.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp019244535	0.0416591580411146	16.6385307133634
GCA_021324875.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp021324875	0.1340558966475914	5.17058330065184
GCA_021790295.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp021790295	0.1467289950406387	4.72399596526895
GCA_021812165.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp021812165	0.094939548640473	7.30093191389425
GCA_035252905.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035252905	0.0848910954425331	8.16513412798601
GCA_035509615.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035509615	0.0656653883918097	10.5557463000767
GCA_035510075.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035510075	0.0594239812097123	11.6644352406105
GCA_035538335.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035538335	0.0939495294730564	7.37786750447464
GCA_035570935.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035570935	0.0570695020729972	12.1456672194782
GCA_035603555.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035603555	0.0961965700585013	7.20552905512548
GCA_035634495.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035634495	0.0404087321894217	17.1534008369953
GCA_035934195.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp035934195	0.1057245396283366	6.55616172930741
GCA_045802495.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp045802495	0.0604218850144927	11.4717900706621
GCA_050729795.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp050729795	0.0852718213601529	8.12867802638316
GCA_050730055.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp050730055	0.0945989167231762	7.32722112017724
GCA_963703665.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963703665	0.1035745631146125	6.69225299838271
GCA_963703855.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963703855	0.0916779815493308	7.56067235388435
GCA_963730745.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963730745	0.0543912871452488	12.7437171822931
GCA_963732095.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963732095	0.0697680613243854	9.9350213751414
GCA_963738185.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963738185	0.0704277672902224	9.84195875049663
GCA_963750195.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963750195	0.04555473588659	15.2156996867583
GCA_963762575.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963762575	0.0479923914737439	14.4428556126268
GCA_963777435.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963777435	0.0617027243605843	11.2336560134568
GCA_963788085.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963788085	0.0502264205125358	13.8004495141545
GCA_963790875.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963790875	0.0569923758174386	12.1621036255845
GCA_963807985.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963807985	0.0632882945711356	10.9522177087716
GCA_963812675.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963812675	0.0532190865553526	13.0244095760458
GCA_963814865.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963814865	0.0730025471173288	9.49483556301025
GCA_963832875.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963832875	0.0613088226445225	11.3058308847148
GCA_963845735.1	phaZ_negative	none	Pseudomonadota	AP-15	AP-15 sp963845735	0.06627676254399	10.4583741564003
GCA_035948495.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-16	AP-16 sp035948495	0.0973399455251387	7.12089139582408
GCA_036395835.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AP-16	AP-16 sp036395835	0.1071701860965966	6.46772396135605
GCA_005884745.1	phaZ_negative	none	Pseudomonadota	AP-16	AP-16 sp005884745	0.0884623321096292	7.8355065261104
GCA_036262895.1	phaZ_negative	none	Pseudomonadota	AP-16	AP-16 sp036262895	0.1121463981625272	6.18073510979289
GCA_012927625.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AVCC01	AVCC01 sp012927625	0.38124160172909	1.81813101565053
GCA_041736255.1	phaZ_negative	none	Pseudomonadota	AVCC01	AVCC01 sp041736255	0.3731225602704949	1.85769303270606
GCA_005888525.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AWTP1-13	AWTP1-13 sp005888525	0.0860276564380762	8.0572598308415
GCA_044868325.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AWTP1-13	AWTP1-13 sp044868325	0.0607479381681481	11.4102173911045
GCA_963738065.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AWTP1-13	AWTP1-13 sp963738065	0.0805291465335997	8.60740750891652
GCA_963814055.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	AWTP1-13	AWTP1-13 sp963814055	0.0469014362496279	14.7788050001442
GCA_963840445.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	AWTP1-13	AWTP1-13 sp963840445	0.1047540404072329	6.6169016284749
GCA_035258605.1	phaZ_negative	none	Pseudomonadota	AWTP1-13	AWTP1-13 sp035258605	0.0727492550484585	9.52789386088197
GCA_035550075.1	phaZ_negative	none	Pseudomonadota	AWTP1-13	AWTP1-13 sp035550075	0.0660066911395153	10.5011653908673
GCA_035573595.1	phaZ_negative	none	Pseudomonadota	AWTP1-13	AWTP1-13 sp035573595	0.0730618936715873	9.48712311886736
GCA_036555805.1	phaZ_negative	none	Pseudomonadota	AWTP1-13	AWTP1-13 sp036555805	0.1683705382383016	4.11679613198662
GCA_051985875.1	phaZ_negative	none	Pseudomonadota	AWTP1-13	AWTP1-13 sp051985875	0.0792807931530682	8.74293953166789
GCA_013298945.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Aalborgiella	Aalborgiella sp013298945	0.2441803666414397	2.83866876806594
GCA_016705065.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Aalborgiella	Aalborgiella aggregata	0.1703659072840256	4.06857916357857
GCA_031426635.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Aalborgiella	Aalborgiella sp031426635	0.2209320688359163	3.13737695125979
GCA_041178825.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Aalborgiella	Aalborgiella sp041178825	0.4129217555084425	1.67864049620358
GCA_043738155.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Aalborgiella	Aalborgiella sp043738155	0.2482826804927621	2.79176614004758
GCA_031390045.1	phaZ_negative	none	Pseudomonadota	Aalborgiella	Aalborgiella sp031390045	0.2619521855123235	2.64608283074369
GCA_031424795.1	phaZ_negative	none	Pseudomonadota	Aalborgiella	Aalborgiella sp031424795	0.2494325348331061	2.77889642994538
GCA_040079635.1	phaZ_negative	none	Pseudomonadota	Aalborgiella	Aalborgiella sp040079635	0.3613744419943733	1.91808578585294
GCA_043780435.1	phaZ_negative	none	Pseudomonadota	Aalborgiella	Aalborgiella sp043780435	0.0912404863546491	7.59692553441355
GCA_965365965.1	phaZ_negative	none	Pseudomonadota	Aalborgiella	Aalborgiella sp965365965	0.2075406007271774	3.33981485131732
GCA_035648435.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp035648435	0.114587169307521	6.04908197618291
GCA_036491275.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp036491275	0.085748699752262	8.08347161604232
GCA_036494265.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp036494265	0.125408643833182	5.52710849406813
GCA_038206535.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp038206535	0.1404084822880577	4.93664748215073
GCA_038227865.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp038227865	0.1115891501579437	6.21160013835451
GCA_963817995.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Acaudatibacter	Acaudatibacter sp963817995	0.0760372283090245	9.11589225402734
GCA_013815405.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp013815405	0.1144559751573793	6.05601568294581
GCA_028290905.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp028290905	0.1308833631731886	5.29591510910942
GCA_036502045.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp036502045	0.1933877674575513	3.58423487520787
GCA_036553915.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp036553915	0.1381513931298327	5.01730141735549
GCA_038225765.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp038225765	0.1075231739719205	6.44649106750661
GCA_963763385.1	phaZ_negative	none	Pseudomonadota	Acaudatibacter	Acaudatibacter sp963763385	0.1633827619290128	4.24247437352728
GCA_002425405.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	Accumulibacter	Accumulibacter vicinus	0.084667436825143	8.1867032539493
GCA_016709675.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	Accumulibacter	Accumulibacter proximus	0.0617639084289658	11.2225278190924
GCA_017302435.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	Accumulibacter	Accumulibacter necessarius	0.0746608893595373	9.28393950977496
GCA_036625225.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	Accumulibacter	Accumulibacter jenkinsii	0.0912277640578738	7.59798497440122
GCF_900089955.1	phaZ_positive	extracellular.lemoignei_like	Pseudomonadota	Accumulibacter	Accumulibacter aalborgensis	0.1079564094413932	6.42062091678065
GCA_000585015.1	phaZ_negative	none	Pseudomonadota	Accumulibacter	Accumulibacter adjunctus	0.1072854684338826	6.46077414470269
GCA_964428215.1	phaZ_negative	none	Pseudomonadota	Accumulibacter	Accumulibacter sp964428215	0.0843782886189935	8.21475751528715
GCF_023806635.1	phaZ_negative	none	Pseudomonadota	Accumulibacter	Accumulibacter sp023806635	0.1106548920213153	6.26404461563638
GCF_024235715.1	phaZ_negative	none	Pseudomonadota	Accumulibacter	Accumulibacter sp024235715	0.1101320295475949	6.29378377396008
GCF_029255145.1	phaZ_negative	none	Pseudomonadota	Accumulibacter	Accumulibacter sp003538495	0.1263530739009316	5.4857959459175
GCA_032153965.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter sp032153965	1.2081629962952285	0.573719922465302
GCA_046736065.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter pulmonis_A	0.4942798416953807	1.40233754664655
GCA_963530045.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter sp963530045	1.3774650101053614	0.503204927511681
GCF_001428845.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter sp001428845	1.0254098062954295	0.675970891154364
GCF_001571245.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter piechaudii	1.01649347370747	0.681900276281972
GCF_002192695.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter xylosoxidans_C	1.0626404877200557	0.652287569097922
GCF_002902905.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter sp002902905	0.9363822775974504	0.740239533728049
GCF_002966795.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter spanius_D	1.1615500313231424	0.596743284290879
GCF_002975275.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter sp002975275	1.2966238847629772	0.534578445380599
GCF_003600685.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter spanius_B	0.88935257050489	0.779384018833433
GCF_012928505.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter sp012928505	1.0901417757575445	0.635832142180107
GCF_013267355.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter pestifer_A	1.1409249204006142	0.607530932286552
GCF_014170335.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter sp014170335	1.2447176082812372	0.556871033195292
GCF_016127315.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter insuavis_A	1.3036756415942063	0.531686838692734
GCF_029637605.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter spanius_E	0.8826705777339227	0.785284111700494
GCF_031995685.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter sp003454835	1.1147189976248884	0.621813373627633
GCF_032113835.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter sp032113835	1.3517057704576283	0.512794422949956
GCF_049060505.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter marplatensis_A	1.238818261668536	0.559522895332816
GCF_900496965.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter agilis	1.2583284368672545	0.550847584979968
GCF_902859585.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter animicus	1.1166658637734403	0.620729264721732
GCF_902859695.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter ruhlandii	1.121034887001623	0.618310088826827
GCF_902859735.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Achromobacter	Achromobacter aegrifaciens	1.065448463941256	0.65056847329423
GCF_903652925.1	phaZ_positive	intracellular.cupriavidus_like	Pseudomonadota	Achromobacter	Achromobacter anxifer	0.8813444971268949	0.786465658796922
GCA_016428805.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp016428805	0.5104651112470249	1.35787376117957
GCA_023432075.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp023432075	1.0110022755625885	0.685603976681687
GCA_040391965.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter deleyi_B	1.6514698794493177	0.419715302825308
GCA_913775005.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp913775005	1.3463082647354137	0.514850275167974
GCA_966111495.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp966111495	1.2921312347061578	0.536437137298653
GCF_000165835.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter xylosoxidans_B	1.052029416313242	0.658866729210888
GCF_000236785.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter arsenitoxydans	0.922096317416348	0.751708002155455
GCF_002209535.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter marplatensis	1.1052058452610098	0.627165684593578
GCF_002209555.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter insolitus	1.017202574129987	0.681424917895822
GCF_002812705.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter spanius	1.0360784136752872	0.669010348455326
GCF_013116765.2	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter deleyi_A	1.2609265019338165	0.549712595854637
GCF_032102605.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp032102605	1.08889675678103	0.636559137717528
GCF_036567245.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp036567245	1.290298243805048	0.537199197075458
GCF_036668755.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp036668755	0.9202935359083424	0.753180538072344
GCF_042721735.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp042721735	1.5529887548254409	0.446331100857106
GCF_049647645.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp049647645	0.919427705925178	0.753889812209284
GCF_050285585.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter sp050285585	1.0396067536127422	0.666739782279392
GCF_900496975.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter veterisilvae	1.1877749110191853	0.583567790605361
GCF_902859595.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter kerstersii	0.8661163603663211	0.800293369665458
GCF_902859625.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter pestifer	0.9225233726945516	0.751360020869029
GCF_902859645.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter insuavis	1.380400077937589	0.502134990890144
GCF_902859745.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter dolens	1.1263877849687345	0.615371712841493
GCF_902859765.1	phaZ_negative	none	Pseudomonadota	Achromobacter	Achromobacter pulmonis	0.9472688253125132	0.731732283421519
GCA_021801255.1	phaZ_positive	intracellular.ralstonia_like	Pseudomonadota	Acidibrevibacterium	Acidibrevibacterium sp021801255	0.0776859093467855	8.92243118975122
