genome_id	phaZ_count	best_evalue	best_pident	hit_refs
GCA_001295775.1	2	3.1599999999999996e-23	30.2	BAA19791.1,BAA35137.1
GCA_001310455.1	1	2.98e-11	65.4	WKZ88401.1
GCA_001464055.1	2	2.31e-25	37.6	BAA33394.1,UCA14981.1
GCA_001423495.1	2	2.42e-21	33.0	BAA33394.1,UCA14981.1
GCA_001464195.1	3	3.28e-13	84.6	BAA33394.1,UCA14981.1
GCA_001464215.1	1	2.16e-11	30.5	WKZ88401.1
GCA_001464495.1	1	8.26e-14	35.3	WP_207907290.1
GCA_001464355.1	3	3.24e-15	38.3	BAA33394.1,UCA14981.1
GCA_001443045.1	5	2.92e-18	36.4	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_001464695.1	4	5.82e-18	36.2	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_001464755.1	5	7.220000000000001e-21	42.6	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_001464765.1	2	1.2200000000000001e-21	32.0	BAA33394.1,UCA14981.1
GCA_001464955.1	5	5.44e-14	37.7	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_001464865.1	3	1.45e-16	38.4	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_001516125.1	1	1.48e-18	35.7	WKZ88401.1
GCA_001514065.1	1	4.4e-15	34.0	sp|P52090.1|PHA1_PAULE
GCA_001516065.1	1	5.68e-13	32.0	CAJ95805.1
GCA_001556025.1	1	1.48e-13	33.3	CAJ95805.1
GCA_001527685.1	3	7.11e-32	33.9	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_001544595.2	5	1.84e-33	41.1	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_001544655.2	7	1.4800000000000002e-21	49.1	BAA33394.1,CAJ93939.1,UCA14981.1
GCA_001683895.1	1	3.43e-11	30.2	UCA14981.1
GCA_001580565.1	4	3.97e-29	39.1	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_001657395.1	1	2.03e-12	33.9	UCA14981.1
GCA_001725155.1	2	6.89e-17	33.3	UCA14981.1,sp|P52090.1|PHA1_PAULE
GCA_001767915.1	2	7.12e-15	31.0	CAJ93939.1,CAJ95805.1
GCA_001725945.1	9	2.82e-23	60.4	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_001770725.1	9	6.7600000000000005e-21	41.7	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_001770575.1	3	1.23e-13	40.5	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_001770955.1	5	1.11e-25	46.9	AAA87070.1,BAA19791.1,BAA35137.1
GCA_001770705.1	2	1.91e-20	36.4	UCA14981.1,WP_207907290.1
GCA_001770785.1	1	4.47e-15	31.3	BAA33394.1
GCA_001771065.1	2	3.33e-11	84.6	BAA33394.1,UCA14981.1
GCA_001795455.1	4	4.64e-18	40.6	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_001770855.1	2	2.22e-11	84.0	BAA33394.1,UCA14981.1
GCA_001829155.1	1	1.1e-20	32.1	sp|P52090.1|PHA1_PAULE
GCA_001830245.1	2	2.67e-14	39.6	BAA33394.1,UCA14981.1
GCA_001898645.1	1	1.54e-12	30.9	BAA33394.1
GCA_001898965.1	4	1.14e-14	38.5	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_002083435.1	4	3.71e-14	39.1	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1
GCA_002167745.1	3	2.99e-15	40.2	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002163135.1	4	6.85e-18	37.7	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_002149965.1	1	9.47e-14	39.5	WKZ88401.1
GCA_002205125.1	2	2.89e-14	32.7	BAA33394.1,UCA14981.1
GCA_002168225.1	5	2.28e-16	41.3	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_002256005.1	2	4.3e-11	35.8	CAJ95805.1,WKZ88401.1
GCA_002255905.1	7	2.41e-16	41.9	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_002255575.1	2	6.73e-13	76.9	CAJ95805.1,WKZ88401.1
GCA_002255955.1	4	2.89e-19	41.6	BAA33394.1,UCA14981.1
GCA_002255985.1	1	3.43e-11	31.6	CAJ95805.1
GCA_002279705.1	2	2.53e-12	32.7	CAJ93939.1,CAJ95805.1
GCA_002279855.1	1	1.08e-13	31.8	CAJ95805.1
GCA_002256115.1	7	2.04e-42	84.6	AAB02914.1,BAA19791.1,BAA35137.1,CAJ93939.1,WKZ88401.1
GCA_002281415.1	4	1.15e-14	39.1	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_002281005.1	1	3.92e-11	34.3	CAJ93939.1
GCA_002279935.1	1	1.88e-12	31.9	CAJ93939.1
GCA_002297645.1	2	3.93e-18	37.5	BAA33394.1,UCA14981.1
GCA_002304505.1	1	1.22e-11	36.4	UCA14981.1
GCA_002307375.1	2	1.1400000000000001e-21	37.7	BAA33394.1,UCA14981.1
GCA_002308075.1	1	2.55e-12	73.1	CAJ95805.1
GCA_002329155.1	2	2.15e-16	39.3	CAJ95805.1,UCA14981.1
GCA_002337525.1	2	5.72e-13	33.9	BAA33394.1,CAJ93939.1
GCA_002331385.1	2	7.25e-14	38.0	BAA33394.1,UCA14981.1
GCA_002340325.1	1	2.87e-23	32.0	WKZ88401.1
GCA_002339015.1	1	7.42e-11	73.1	BAA33394.1
GCA_002342295.1	2	7.48e-15	41.9	BAA33394.1,UCA14981.1
GCA_002342165.1	3	3.04e-21	43.5	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002344355.1	2	1.69e-14	33.0	BAA33394.1,UCA14981.1
GCA_002343265.1	2	4.62e-17	65.4	CAJ95805.1
GCA_002342365.1	4	2.05e-12	78.3	BAA33394.1,UCA14981.1
GCA_002340515.1	2	1.85e-15	36.6	CAJ95805.1,WKZ88401.1
GCA_002344055.1	1	5.08e-11	32.4	BAA33394.1
GCA_002344885.1	5	6.72e-21	44.5	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_002355495.1	2	2.75e-12	35.9	AAB02914.1,BAA19791.1
GCA_002359895.1	2	7.21e-14	84.6	BAA33394.1,UCA14981.1
GCA_002363385.1	2	4.98e-19	32.5	BAA33394.1,UCA14981.1
GCA_002364755.1	3	6.6200000000000005e-22	47.2	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002366795.1	1	4.71e-11	57.1	CAJ95805.1
GCA_002376235.1	1	5.04e-11	31.1	CAJ95805.1
GCA_002384815.1	6	1.05e-19	43.0	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002386465.1	2	1.41e-18	35.9	BAA33394.1,UCA14981.1
GCA_002421865.1	3	2.96e-17	34.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002422795.1	3	8.48e-14	32.7	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002422085.1	1	1.09e-11	31.7	WKZ88401.1
GCA_002423205.1	2	2.01e-14	34.2	CAJ95805.1,WKZ88401.1
GCA_002425405.1	1	1.62e-18	31.0	sp|P52090.1|PHA1_PAULE
GCA_002427815.1	2	4.67e-20	43.4	BAA33394.1,UCA14981.1
GCA_002428885.1	1	9.48e-12	76.9	CAJ95805.1
GCA_002434305.1	2	1.09e-14	33.7	BAA33394.1,UCA14981.1
GCA_002435595.1	3	4.39e-27	38.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002440825.1	1	5.67e-11	33.1	WP_207907290.1
GCA_002454975.1	3	7.99e-19	35.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002454505.1	2	2.41e-12	36.8	BAA33394.1,WP_243656647.1
GCA_002471015.1	2	5.23e-22	33.6	BAA33394.1,UCA14981.1
GCA_002480495.1	2	3.96e-18	31.9	CAJ93939.1,WKZ88401.1
GCA_002482715.1	2	1.27e-17	37.5	BAA33394.1,UCA14981.1
GCA_002482765.1	2	8.18e-15	36.4	CAJ93939.1,WKZ88401.1
GCA_002551005.1	1	6.41e-11	52.4	WP_128854079.1
GCA_002632325.1	3	1.32e-23	32.7	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_002633085.1	2	3.66e-16	38.2	BAA33394.1,UCA14981.1
GCA_002690045.1	1	2.36e-11	34.1	BAA33394.1
GCA_002691795.1	1	1.47e-11	62.1	BAA33394.1
GCA_002700095.1	1	2.12e-13	36.7	CAJ95805.1
GCA_002701295.1	2	3.94e-12	32.7	BAA33394.1,CAJ95805.1
GCA_002706445.1	1	3.87e-12	57.9	WKZ88401.1
GCA_002706335.1	2	9.25e-12	53.2	CAJ93939.1,WKZ88401.1
GCA_002707605.1	2	4.82e-17	33.3	CAJ93939.1,WKZ88401.1
GCA_002710775.1	1	2.12e-18	30.4	CAJ95805.1
GCA_002709405.1	2	1.29e-13	32.8	CAJ93939.1,WKZ88401.1
GCA_002721365.1	1	1.08e-11	36.2	CAJ95805.1
GCA_002723385.1	1	2.92e-12	66.7	BAA32541.1
GCA_002732675.1	2	1.31e-19	37.7	CAJ95805.1,WKZ88401.1
GCA_002782905.1	3	1.4e-20	41.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002783385.1	1	6.18e-12	35.0	BAA33394.1
GCA_002840095.1	2	2.84e-19	43.9	WP_207907290.1
GCA_002840845.1	3	6.03e-17	35.4	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_002842205.1	2	3.65e-16	34.3	BAA33394.1,UCA14981.1
GCA_002842265.1	2	4.01e-16	32.2	BAA33394.1,CAJ95805.1
GCA_002862095.1	2	8.45e-15	37.0	CAJ93939.1,WKZ88401.1
GCA_002869665.1	1	2.38e-17	30.9	WP_207907290.1
GCA_002890675.1	2	1.18e-12	33.6	BAA33394.1,UCA14981.1
GCA_002968015.1	2	3.91e-15	42.1	BAA33394.1,UCA14981.1
GCA_003132085.1	3	1.29e-13	66.7	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_003133345.1	1	1.6e-17	36.4	CAJ93939.1
GCA_003133265.1	3	6.16e-14	38.2	BAA33394.1,CAJ93939.1,UCA14981.1
GCA_003133245.1	3	7.28e-11	87.0	BAA33394.1,UCA14981.1
GCA_003136595.1	3	2.74e-24	36.8	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_003142815.1	1	2.98e-15	33.3	UCA14981.1
GCA_003152055.1	4	6.11e-22	35.3	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_003152455.1	2	2.78e-19	31.9	CAJ93939.1,UCA14981.1
GCA_003152195.1	1	1.85e-12	32.4	WP_243656647.1
GCA_003153415.1	5	1.18e-21	39.4	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_003164375.1	4	2.35e-14	36.4	BAA33394.1,CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_003162995.1	1	7.57e-12	50.0	CAJ93939.1
GCA_003164135.1	4	1.71e-22	38.0	BAA33394.1,CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_003164825.1	4	1.79e-18	40.7	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_003165335.1	1	2.5e-13	33.9	WKZ88401.1
GCA_003241055.1	4	8.81e-25	36.2	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_003240695.1	2	1.29e-14	37.7	BAA33394.1,UCA14981.1
GCA_003241485.1	1	7.92e-12	36.5	CAJ93939.1
GCA_003243425.1	4	2.24e-18	32.1	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_003248565.1	1	9.58e-20	32.7	UCA14981.1
GCA_003248935.1	1	1.66e-12	38.3	WKZ88401.1
GCA_003265685.1	1	1.2e-16	32.0	AAA87070.1
GCA_003483125.1	1	2.17e-16	34.8	WKZ88401.1
GCA_003484805.1	4	4.770000000000001e-27	45.1	BAA19791.1,BAA35137.1
GCA_003482555.1	2	2.25e-25	34.5	BAA33394.1,UCA14981.1
GCA_003510825.1	1	1e-11	38.5	BAA33394.1
GCA_003524365.1	1	1.33e-14	34.7	WP_207907290.1
GCA_003525885.1	2	3.7000000000000005e-22	36.7	BAA33394.1,UCA14981.1
GCA_003537575.1	3	3.64e-19	42.3	BAA33394.1,UCA14981.1,sp|P52090.1|PHA1_PAULE
GCA_003561495.1	6	2.3600000000000002e-26	75.0	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_003560975.1	2	9.35e-16	34.6	BAA33394.1,UCA14981.1
GCA_003565625.1	3	2.6e-14	64.9	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_003859965.1	2	8.8e-20	32.0	BAA19791.1,BAA35137.1
GCA_003724185.1	1	8.2e-12	31.7	WKZ88401.1
GCA_003820645.1	1	6.52e-12	31.5	CAJ93939.1
GCA_003963075.1	1	1.94e-12	37.9	BAA33394.1
GCA_003963005.1	2	1.43e-12	76.9	BAA33394.1,UCA14981.1
GCA_003963145.1	2	3.35e-16	34.2	CAJ93939.1,WKZ88401.1
GCA_003963125.1	1	7.84e-16	30.3	CAJ93939.1
GCA_003963115.1	6	8.37e-20	78.8	BAA32541.1,BAA33394.1,CAJ95805.1,UCA14981.1
GCA_004143945.1	1	8.7e-13	33.7	BAA33394.1
GCA_003987795.1	3	4.4e-18	42.3	CAJ93939.1,WKZ88401.1
GCA_004173415.1	2	1.11e-14	38.9	BAA33394.1,UCA14981.1
GCA_004134995.1	2	5.56e-17	36.8	CAJ93939.1,WKZ88401.1
GCA_004017275.1	4	2.49e-17	41.5	CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_004020315.1	3	4.13e-15	40.2	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_004210915.1	2	7.41e-15	39.4	CAJ93939.1,WKZ88401.1
GCA_004292675.1	2	4.19e-11	37.5	CAJ93939.1,CAJ95805.1
GCA_004293655.1	3	1.1799999999999999e-25	33.6	BAA33394.1,UCA14981.1
GCA_004293725.1	2	2.32e-11	80.0	CAJ93939.1,WKZ88401.1
GCA_004298015.1	2	3.03e-20	35.6	BAA33394.1,UCA14981.1
GCA_004298545.1	4	7.33e-19	38.2	BAA33394.1,UCA14981.1
GCA_004298505.1	2	2.87e-14	36.5	BAA33394.1,UCA14981.1
GCA_004298905.1	5	3.01e-20	42.9	BAA19791.1,BAA33394.1,BAA35137.1,UCA14981.1,WKZ88401.1
GCA_004322085.1	3	4.04e-12	84.0	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_004322535.1	1	9.8e-12	61.5	WKZ88401.1
GCA_004323695.1	4	3.16e-29	37.6	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1
GCA_004322045.1	3	8.68e-27	38.0	BAA33394.1,UCA14981.1
GCA_004343775.1	3	2.06e-20	34.6	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_004359425.1	4	9.09e-22	44.3	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_004369025.1	1	5.52e-63	38.2	BAA32541.1
GCA_004799435.1	4	7.78e-24	46.3	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_004791645.1	2	5.9e-13	57.9	BAA33394.1,UCA14981.1
GCA_004570315.1	1	3.3e-14	31.9	UCA14981.1
GCA_005239635.1	1	1.47e-13	83.3	UCA14981.1
GCA_004791255.1	2	2.75e-13	38.4	CAJ93939.1,CAJ95805.1
GCA_005240145.1	4	6.15e-17	37.4	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_005503055.1	2	7.59e-14	47.0	BAA33394.1,UCA14981.1
GCA_005503065.1	3	1.12e-15	67.5	BAA33394.1,CAJ93939.1,UCA14981.1
GCA_005502875.1	2	1.41e-25	35.4	BAA33394.1,UCA14981.1
GCA_005777205.1	1	3.53e-14	32.3	UCA14981.1
GCA_005798775.1	3	8.91e-18	43.4	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_005882155.1	3	1.84e-14	39.6	BAA32541.1,BAA33394.1,UCA14981.1
GCA_005882215.1	2	3.12e-24	38.8	BAA33394.1,UCA14981.1
GCA_005883675.1	2	7.44e-13	33.8	BAA33394.1,UCA14981.1
GCA_005884255.1	1	9.55e-12	36.0	BAA33394.1
GCA_005884465.1	4	5.8e-14	35.8	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1
GCA_005884825.1	2	3.99e-13	32.5	BAA19791.1,BAA35137.1
GCA_005888525.1	4	4.32e-12	36.5	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_006227775.1	1	5.57e-13	36.7	BAA32541.1
GCA_006438735.1	1	6.7e-11	36.6	CAJ95805.1
GCA_007119095.1	2	7.75e-15	36.7	BAA33394.1,UCA14981.1
GCA_007123575.1	1	2.98e-12	53.3	WKZ88401.1
GCA_007129775.1	1	8.87e-11	32.3	WKZ88401.1
GCA_007131235.1	5	4.37e-23	64.5	BAA33394.1,UCA14981.1
GCA_007134485.1	5	2.51e-20	76.9	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_007135745.1	2	4.75e-15	35.9	CAJ93939.1,WKZ88401.1
GCA_007677875.1	2	3.33e-17	35.5	CAJ93939.1,UCA14981.1
GCA_007556525.1	1	5.92e-11	66.7	BAA33394.1
GCA_007280205.1	2	7.94e-16	30.5	BAA33394.1,UCA14981.1
GCA_007694885.1	1	4.57e-14	31.1	BAA33394.1
GCA_008015455.1	3	6.9e-19	34.2	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_007829435.1	4	2.08e-24	50.5	BAA33394.1,UCA14981.1
GCA_008015095.1	1	1.71e-13	32.5	UCA14981.1
GCA_008015235.1	2	5.24e-12	63.9	BAA33394.1,CAJ95805.1
GCA_008015835.1	1	8.980000000000001e-27	32.6	sp|P52090.1|PHA1_PAULE
GCA_008080595.1	5	2.84e-19	88.0	BAA33394.1,CAJ95805.1,UCA14981.1,WP_207907290.1
GCA_009377535.1	1	3.88e-13	36.5	WKZ88401.1
GCA_009646425.1	3	6.44e-20	38.7	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_009693305.1	1	9.42e-16	31.1	UCA14981.1
GCA_009693335.1	2	1.33e-13	34.1	BAA33394.1,UCA14981.1
GCA_009694185.1	2	3.95e-11	36.8	CAJ95805.1,UCA14981.1
GCA_009693835.1	1	2.42e-12	64.9	CAJ95805.1
GCA_009694215.1	3	5.65e-14	39.8	CAJ93939.1,CAJ95805.1
GCA_009693865.1	3	6.13e-15	39.7	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_009765735.1	3	2.91e-15	37.9	BAA33394.1,CAJ93939.1,UCA14981.1
GCA_009765215.1	4	6.93e-13	38.7	BAA33394.1,UCA14981.1
GCA_009778355.1	2	7.59e-14	40.4	BAA33394.1,UCA14981.1
GCA_009846685.1	2	1.98e-13	38.5	CAJ93939.1,WKZ88401.1
GCA_009885515.1	1	9.49e-12	33.3	WKZ88401.1
GCA_009909005.1	1	7.83e-11	35.9	BAA35137.1
GCA_009912175.1	1	3.12e-16	31.0	BAA33394.1
GCA_009918225.1	3	1.12e-15	41.2	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_009914615.1	2	4.99e-13	35.1	CAJ93939.1,WKZ88401.1
GCA_009919175.1	3	1.21e-22	35.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_009921245.1	3	4.97e-19	43.0	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_009920915.1	5	5.47e-18	38.1	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_009921265.1	2	1.2400000000000001e-29	30.4	BAA33394.1,UCA14981.1
GCA_009923315.1	2	3.23e-14	52.2	BAA33394.1,UCA14981.1
GCA_009922405.1	3	4.4e-17	36.4	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_009926295.1	1	5.27e-12	30.9	WP_207907290.1
GCA_009925955.1	2	2.59e-15	41.2	BAA33394.1,UCA14981.1
GCA_009927195.1	3	3.19e-18	38.9	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_010024875.1	3	1.36e-12	80.8	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_010032545.1	2	7.99e-19	33.2	CAJ93939.1,CAJ95805.1
GCA_011390055.1	4	8.679999999999999e-24	36.7	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_011390855.1	4	1.27e-14	37.7	AAA87070.1,BAA19791.1,BAA35137.1
GCA_011391855.1	2	1.2200000000000001e-21	37.9	BAA33394.1,UCA14981.1
GCA_011391155.1	4	1.9e-15	36.9	AAA87070.1,BAA33394.1,CAJ95805.1,UCA14981.1
GCA_011391595.1	2	6.18e-17	43.4	CAJ93939.1,WKZ88401.1
GCA_011391545.1	1	1.65e-11	45.9	BAA33394.1
GCA_011523655.1	2	2.91e-11	31.9	CAJ95805.1,WKZ88401.1
GCA_011526165.1	3	3.1e-13	33.9	CAJ93939.1,CAJ95805.1,UCA14981.1
GCA_011620215.1	2	5.17e-14	60.0	CAJ93939.1,WKZ88401.1
GCA_012026885.1	1	3.27e-16	35.2	CAJ93939.1
GCA_012511095.1	1	5.3e-12	63.3	CAJ95805.1
GCA_012510865.1	4	1.38e-13	38.4	BAA33394.1,UCA14981.1
GCA_012513825.1	1	4.18e-20	33.2	BAA32541.1
GCA_012727555.1	3	3.08e-12	78.6	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_012735395.1	2	4.53e-12	60.0	BAA33394.1,UCA14981.1
GCA_012839585.1	2	7.04e-13	53.1	BAA33394.1,UCA14981.1
GCA_012927625.1	2	3.28e-16	36.6	BAA33394.1,UCA14981.1
GCA_013002295.1	1	9.61e-13	53.7	WKZ88401.1
GCA_013002595.1	1	6.34e-14	32.5	CAJ95805.1
GCA_013044035.1	2	2.97e-17	38.8	BAA33394.1,UCA14981.1
GCA_013127575.1	5	1.13e-23	64.7	AAA87070.1,BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_013152615.1	2	1.95e-12	75.0	CAJ93939.1,CAJ95805.1
GCA_013152755.1	4	1.74e-14	35.3	BAA33394.1,CAJ93939.1,UCA14981.1,WKZ88401.1
GCA_013205155.1	2	2.99e-17	36.2	BAA33394.1,UCA14981.1
GCA_013214485.1	1	1.47e-11	30.4	BAA33394.1
GCA_013203595.1	1	3.71e-14	32.7	CAJ95805.1
GCA_013205645.1	2	1.4e-18	38.6	BAA33394.1,UCA14981.1
GCA_013214545.1	1	3.25e-11	34.5	BAA33394.1
GCA_013286285.1	2	2.43e-11	54.3	CAJ95805.1,WKZ88401.1
GCA_013290035.1	5	3.65e-20	34.7	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_013297985.1	1	5.12e-11	75.9	BAA33394.1
GCA_013297865.1	1	7.29e-16	30.1	BAA33394.1
GCA_013297925.1	2	7.22e-23	35.2	BAA33394.1,UCA14981.1
GCA_013298265.1	4	2.24e-14	38.9	BAA33394.1,CAJ95805.1,UCA14981.1,sp|P52090.1|PHA1_PAULE
GCA_013298485.1	1	6.46e-11	32.5	WKZ88401.1
GCA_013298045.1	2	8.84e-12	50.0	BAA33394.1,UCA14981.1
GCA_013298945.1	2	4.17e-17	37.9	BAA33394.1,UCA14981.1
GCA_013360485.1	2	4.19e-11	37.1	BAA33394.1,UCA14981.1
GCA_013362405.1	1	3.5e-21	31.5	UCA14981.1
GCA_013362725.1	2	3.71e-53	39.7	BAA33394.1,UCA14981.1
GCA_013373445.1	2	6.19e-12	61.1	CAJ95805.1,WKZ88401.1
GCA_013389125.1	3	9.19e-13	88.5	CAJ93939.1,CAJ95805.1,WKZ88401.1
GCA_013389115.1	2	1.43e-12	39.0	CAJ93939.1,WKZ88401.1
GCA_013693735.1	1	1.23e-16	32.8	WKZ88401.1
GCA_013416405.1	4	3.32e-16	38.7	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_013695705.1	6	1.11e-17	76.9	BAA33394.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_013696665.1	2	3.51e-16	41.2	BAA33394.1,UCA14981.1
GCA_013695565.1	9	2.78e-19	39.0	BAA33394.1,CAJ93939.1,CAJ95805.1,UCA14981.1,WKZ88401.1
GCA_013812695.1	4	6.19e-13	85.7	BAA19791.1,BAA35137.1
GCA_013813615.1	1	4.6e-11	34.1	WKZ88401.1
GCA_013815685.1	8	9.65e-30	44.3	BAA19791.1,BAA33394.1,BAA35137.1,CAJ93939.1,UCA14981.1
GCA_013821905.1	2	3.7e-13	37.5	CAJ93939.1,WKZ88401.1
GCA_013822265.1	2	2.72e-11	35.1	BAA33394.1,UCA14981.1
GCA_013823725.1	1	7.76e-11	51.4	CAJ95805.1
GCA_013823635.1	1	1.09e-17	32.3	WKZ88401.1
GCA_013822685.1	1	6.28e-11	33.6	WKZ88401.1
GCA_013822765.1	3	5.33e-15	31.5	BAA33394.1,UCA14981.1,WKZ88401.1
GCA_013824165.1	2	7.73e-22	33.8	BAA33394.1,UCA14981.1
GCA_013824015.1	3	3.71e-14	36.5	BAA33394.1,WKZ88401.1,WP_243656647.1
GCA_013911975.1	3	8.09e-16	63.6	CAJ93939.1,WKZ88401.1
GCA_014190435.1	1	2.48e-11	35.5	CAJ95805.1
GCA_014075275.1	1	8.84e-11	51.6	WKZ88401.1
GCA_014190675.1	3	2.1e-14	33.3	BAA33394.1,CAJ95805.1,UCA14981.1
GCA_014204625.1	1	2.7e-12	64.9	CAJ95805.1
